File	Cores per node	CPU Utilized	CPU Efficiency	Memory Efficiency
DESEq2--1053741.out	32	00:00:03	2.34%	0.00%
DESEq2--1053755.out	32	00:00:03	3.12%	0.00%
DESEq2--1054167.out	32	00:00:07	0.78%	0.00%
DESEq2--1054180.out	32	00:00:06	2.34%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode04-1015637.out	32	00:00:03	1.34%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode04-1015644.out	32	00:00:03	1.04%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode04-1015707.out	32	00:00:04	1.79%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode04-1015722.out	32	00:00:02	1.25%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode04-1015964.out	32	00:00:03	1.88%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode04-1015966.out	32	00:00:03	1.34%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode05-1015628.out	32	00:00:03	1.88%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode05-1015633.out	32	00:00:03	1.56%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode05-1015694.out	32	00:00:03	1.56%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode05-1015735.out	32	00:00:03	1.56%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode05-1015941.out	32	00:00:03	1.88%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode05-1015954.out	32	00:00:03	1.88%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode06-1015562.out	32	00:00:02	0.52%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode06-1015567.out	32	00:00:03	1.17%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode06-1015678.out	32	00:00:03	0.94%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode06-1015726.out	32	00:00:04	1.25%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode06-1015952.out	32	00:00:03	1.88%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode06-1015961.out	32	00:00:03	1.34%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode07-1015610.out	32	00:00:03	1.56%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode07-1015617.out	32	00:00:03	1.56%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode07-1015689.out	32	00:00:03	1.04%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode07-1015734.out	32	00:00:02	1.04%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode07-1015963.out	32	00:00:03	1.56%	0.00%
